"id_studente" "tipo_laurea_triennale" "voto_lt" "voto_lm" "numero_appelli" "score" "appello" "domanda"
29 "stat padova" "107" "105" 3 NA "20160127" "4"
30 "stat padova" "94" "102" 1 NA "20160127" "4"
31 "stat padova" "102" "92" 3 NA "20160127" "4"
32 "stat padova" "106" "101" 2 NA "20160127" "4"
33 "stat padova" "110L" "110L" 2 NA "20160127" "4"
34 "stat NA" "110L" "106" 3 NA "20160127" "4"
35 "stat padova" "90" "91" 2 NA "20160127" "4"
36 "stat FI" "96" "93" 2 NA "20160127" "4"
37 "stat padova" "84" "" 3 NA "20160127" "4"
38 "mat CA" "106" "97" 1 NA "20160127" "4"
39 "stat padova" "105" "" 1 NA "20160127" "4"
40 "stat padova" "88" "91" 6 NA "20160127" "4"
41 "stat NA" "110L" "110L" 1 NA "20160127" "4"
42 "stat bicocca" "110L" "110L" 2 NA "20160127" "4"
43 "stat padova" "104" "93" 7 NA "20160127" "4"
44 "stat padova" "104" "99" 2 NA "20160127" "4"
45 "stat padova" "93" "" NA NA "20160127" "4"
46 "stat padova" "102" "103" 5 NA "20160127" "4"
47 "sociologia" "102" "110L" 2 NA "20160127" "4"
48 "stat padova" "106" "103" 2 NA "20160127" "4"
49 "stat padova" "110L" "102" 2 NA "20160127" "4"
50 "stat padova" "86" "96" 4 2 "20160127" "4"
51 "stat GE" "110L" "100" 1 NA "20160127" "4"
52 "stat padova" "107" "110L" 4 NA "20160127" "4"
53 "stat padova" "90" "94" 4 NA "20160127" "4"
54 "stat padova" "107" "110L" NA NA "20160127" "4"
55 "stat padova" "96" "92" 2 NA "20160127" "4"
56 "stat padova" "96" "94" 1 NA "20160127" "4"
57 "stat padova" "104" "100" 2 NA "20160127" "4"
58 "stat padova" "97" "93" 4 NA "20160127" "4"
59 "stat padova" "88" "92" 3 NA "20160127" "4"
60 "stat GE" "110" "99" 6 1 "20160127" "4"
61 "stat GE" "90" "84" 1 2 "20160127" "4"
62 "stat padova" "103" "92" 3 NA "20160127" "4"
63 "mat PD" "108" "110L" 1 NA "20160127" "4"
64 "stat padova" "" "" 4 NA "20160127" "4"
65 "stat padova" "110L" "102" 1 NA "20160127" "4"
66 "stat padova" "" "" NA NA "20160127" "4"
67 "stat padova" "" "" NA NA "20160127" "4"
68 "stat GE" "110" "104" 2 2 "20160127" "4"
69 "stat padova" "110L" "110L" 3 NA "20160127" "4"
70 "stat padova" "102" "96" 1 NA "20160127" "4"
71 "stat padova" "110L" "110L" 1 NA "20160127" "4"
72 "stat padova" "84" "98" 2 NA "20160127" "4"
73 "stat padova" "93" "" NA NA "20160127" "4"
74 "stat padova" "92" "91" 4 NA "20160127" "4"
75 "stat padova" "84" "" 2 NA "20160127" "4"
76 "stat padova" "110L" "110" NA NA "20160127" "4"
77 "stat padova" "102" "100" NA NA "20160127" "4"
78 "stat padova" "" "" NA NA "20160127" "4"
79 "stat BA" "102" "93" 1 NA "20160127" "4"
80 "stat BN" "110L" "110L" 1 NA "20160127" "4"
81 "stat padova" "108" "100" 1 NA "20160127" "4"
82 "stat padova" "110L" "100L" NA NA "20160127" "4"
83 "stat padova" "105" "105" NA NA "20160127" "4"
84 "stat padova" "97" "92" 2 NA "20160127" "4"
85 "stat Bicocca" "110L" "110L" 2 2 "20160127" "4"
86 "mat GE" "101" "97" 4 NA "20160127" "4"
87 "stat GE" "108" "100" 1 NA "20160127" "4"
88 "mat GE" "110L" "110L" 2 NA "20160127" "4"
89 "mat GE" "110" "107" 1 NA "20160127" "4"
90 "stat padova" "" "" NA NA "20160127" "4"
91 "stat padova" "103" "103" 2 NA "20160127" "4"
92 "stat padova" "" "" NA NA "20160127" "4"
93 "stat padova" "95" "91" 1 NA "20160127" "4"
94 "stat padova" "107" "107" 2 NA "20160127" "4"
95 "mat GE" "97" "100" 3 NA "20160127" "4"
96 "stat padova" "95" "107" 3 NA "20160127" "4"
97 "stat GE" "110L" "103" 2 NA "20160127" "4"
98 "stat padova" "91" "85" 4 NA "20160127" "4"
99 "stat padova" "93" "93" 2 NA "20160127" "4"
100 "stat GE" "107" "96" 1 NA "20160127" "4"
101 "econ azien BA" "102" "86" 3 NA "20160127" "4"
102 "stat padova" "107" "107" 1 NA "20160127" "4"
103 "stat padova" "110L" "105" 2 NA "20160127" "4"
104 "stat padova" "92" "98" 1 NA "20160127" "4"
105 "stat padova" "" "" NA NA "20160127" "4"
106 "stat padova" "" "" NA NA "20160127" "4"
107 "stat padova" "" "" NA NA "20160127" "4"
108 "stat padova" "110L" "110L" 1 NA "20160127" "4"
109 "stat BA" "110L" "92" 4 NA "20160127" "4"
110 "stat padova" "94" "96" 7 NA "20160127" "4"
111 "stat padova" "101" "" NA NA "20160127" "4"
1 "stat padova" "91" "95" 1 NA "20160127" "5"
2 "stat padova" "" "" 1 NA "20160127" "5"
3 "stat padova" "103" "103" 3 NA "20160127" "5"
4 "stat padova" "" "" NA NA "20160127" "5"
5 "stat padova" "110L" "110" 2 NA "20160127" "5"
6 "Econ. e manag. TN" "98" "101" 1 NA "20160127" "5"
7 "stat padova" "110L" "99" 1 NA "20160127" "5"
8 "stat padova" "110L" "110L" 1 NA "20160127" "5"
9 "stat padova" "98" "100" 3 NA "20160127" "5"
10 "stat padova" "106" "108" 2 NA "20160127" "5"
11 "stat VE" "110L" "110" 1 NA "20160127" "5"
12 "stat padova" "" "" NA NA "20160127" "5"
13 "stat padova" "110L" "110L" 3 NA "20160127" "5"
14 "stat padova" "108" "110L" 3 NA "20160127" "5"
15 "stat padova" "" "" NA NA "20160127" "5"
16 "stat padova" "105" "92" 1 NA "20160127" "5"
17 "stat bicocca" "104" "110L" 2 NA "20160127" "5"
18 "stat padova" "109" "97" 1 NA "20160127" "5"
19 "stat padova" "90" "84" 5 NA "20160127" "5"
20 "mat TN" "90" "102" 2 NA "20160127" "5"
21 "stat padova" "103" "110L" 3 NA "20160127" "5"
22 "mat CA" "110L" "110L" 1 NA "20160127" "5"
23 "stat padova" "110L" "100" 2 NA "20160127" "5"
24 "stat padova" "110L" "110" 1 NA "20160127" "5"
25 "stat bicocca" "110L" "96" 2 NA "20160127" "5"
26 "stat padova" "" "" NA NA "20160127" "5"
27 "stat padova" "" "" NA NA "20160127" "5"
28 "stat padova" "" "" NA NA "20160127" "5"
29 "stat padova" "107" "105" 3 NA "20160127" "5"
30 "stat padova" "94" "102" 1 NA "20160127" "5"
31 "stat padova" "102" "92" 3 NA "20160127" "5"
32 "stat padova" "106" "101" 2 NA "20160127" "5"
33 "stat padova" "110L" "110L" 2 NA "20160127" "5"
34 "stat NA" "110L" "106" 3 NA "20160127" "5"
35 "stat padova" "90" "91" 2 NA "20160127" "5"
36 "stat FI" "96" "93" 2 NA "20160127" "5"
37 "stat padova" "84" "" 3 NA "20160127" "5"
38 "mat CA" "106" "97" 1 NA "20160127" "5"
39 "stat padova" "105" "" 1 NA "20160127" "5"
40 "stat padova" "88" "91" 6 NA "20160127" "5"
41 "stat NA" "110L" "110L" 1 NA "20160127" "5"
42 "stat bicocca" "110L" "110L" 2 NA "20160127" "5"
43 "stat padova" "104" "93" 7 NA "20160127" "5"
44 "stat padova" "104" "99" 2 NA "20160127" "5"
45 "stat padova" "93" "" NA NA "20160127" "5"
46 "stat padova" "102" "103" 5 NA "20160127" "5"
47 "sociologia" "102" "110L" 2 NA "20160127" "5"
48 "stat padova" "106" "103" 2 NA "20160127" "5"
49 "stat padova" "110L" "102" 2 NA "20160127" "5"
50 "stat padova" "86" "96" 4 2 "20160127" "5"
51 "stat GE" "110L" "100" 1 NA "20160127" "5"
52 "stat padova" "107" "110L" 4 NA "20160127" "5"
53 "stat padova" "90" "94" 4 NA "20160127" "5"
54 "stat padova" "107" "110L" NA NA "20160127" "5"
55 "stat padova" "96" "92" 2 NA "20160127" "5"
56 "stat padova" "96" "94" 1 NA "20160127" "5"
57 "stat padova" "104" "100" 2 NA "20160127" "5"
58 "stat padova" "97" "93" 4 NA "20160127" "5"
59 "stat padova" "88" "92" 3 NA "20160127" "5"
60 "stat GE" "110" "99" 6 1 "20160127" "5"
61 "stat GE" "90" "84" 1 2 "20160127" "5"
62 "stat padova" "103" "92" 3 NA "20160127" "5"
63 "mat PD" "108" "110L" 1 NA "20160127" "5"
64 "stat padova" "" "" 4 NA "20160127" "5"
65 "stat padova" "110L" "102" 1 NA "20160127" "5"
66 "stat padova" "" "" NA NA "20160127" "5"
67 "stat padova" "" "" NA NA "20160127" "5"
68 "stat GE" "110" "104" 2 1 "20160127" "5"
69 "stat padova" "110L" "110L" 3 NA "20160127" "5"
70 "stat padova" "102" "96" 1 NA "20160127" "5"
71 "stat padova" "110L" "110L" 1 NA "20160127" "5"
72 "stat padova" "84" "98" 2 NA "20160127" "5"
73 "stat padova" "93" "" NA NA "20160127" "5"
74 "stat padova" "92" "91" 4 NA "20160127" "5"
75 "stat padova" "84" "" 2 NA "20160127" "5"
76 "stat padova" "110L" "110" NA NA "20160127" "5"
77 "stat padova" "102" "100" NA NA "20160127" "5"
78 "stat padova" "" "" NA NA "20160127" "5"
79 "stat BA" "102" "93" 1 NA "20160127" "5"
80 "stat BN" "110L" "110L" 1 NA "20160127" "5"
81 "stat padova" "108" "100" 1 NA "20160127" "5"
82 "stat padova" "110L" "100L" NA NA "20160127" "5"
83 "stat padova" "105" "105" NA NA "20160127" "5"
84 "stat padova" "97" "92" 2 NA "20160127" "5"
85 "stat Bicocca" "110L" "110L" 2 2 "20160127" "5"
86 "mat GE" "101" "97" 4 NA "20160127" "5"
87 "stat GE" "108" "100" 1 NA "20160127" "5"
88 "mat GE" "110L" "110L" 2 NA "20160127" "5"
89 "mat GE" "110" "107" 1 NA "20160127" "5"
90 "stat padova" "" "" NA NA "20160127" "5"
91 "stat padova" "103" "103" 2 NA "20160127" "5"
92 "stat padova" "" "" NA NA "20160127" "5"
93 "stat padova" "95" "91" 1 NA "20160127" "5"
94 "stat padova" "107" "107" 2 NA "20160127" "5"
95 "mat GE" "97" "100" 3 NA "20160127" "5"
96 "stat padova" "95" "107" 3 NA "20160127" "5"
97 "stat GE" "110L" "103" 2 NA "20160127" "5"
98 "stat padova" "91" "85" 4 NA "20160127" "5"
99 "stat padova" "93" "93" 2 NA "20160127" "5"
100 "stat GE" "107" "96" 1 NA "20160127" "5"
101 "econ azien BA" "102" "86" 3 NA "20160127" "5"
102 "stat padova" "107" "107" 1 NA "20160127" "5"
103 "stat padova" "110L" "105" 2 NA "20160127" "5"
104 "stat padova" "92" "98" 1 NA "20160127" "5"
105 "stat padova" "" "" NA NA "20160127" "5"
106 "stat padova" "" "" NA NA "20160127" "5"
107 "stat padova" "" "" NA NA "20160127" "5"
108 "stat padova" "110L" "110L" 1 NA "20160127" "5"
109 "stat BA" "110L" "92" 4 NA "20160127" "5"
110 "stat padova" "94" "96" 7 NA "20160127" "5"
111 "stat padova" "101" "" NA NA "20160127" "5"
1 "stat padova" "91" "95" 1 NA "20160127" "6"
2 "stat padova" "" "" 1 NA "20160127" "6"
3 "stat padova" "103" "103" 3 NA "20160127" "6"
4 "stat padova" "" "" NA NA "20160127" "6"
5 "stat padova" "110L" "110" 2 NA "20160127" "6"
6 "Econ. e manag. TN" "98" "101" 1 NA "20160127" "6"
7 "stat padova" "110L" "99" 1 NA "20160127" "6"
8 "stat padova" "110L" "110L" 1 NA "20160127" "6"
9 "stat padova" "98" "100" 3 NA "20160127" "6"
10 "stat padova" "106" "108" 2 NA "20160127" "6"
11 "stat VE" "110L" "110" 1 NA "20160127" "6"
12 "stat padova" "" "" NA NA "20160127" "6"
13 "stat padova" "110L" "110L" 3 NA "20160127" "6"
14 "stat padova" "108" "110L" 3 NA "20160127" "6"
15 "stat padova" "" "" NA NA "20160127" "6"
16 "stat padova" "105" "92" 1 NA "20160127" "6"
17 "stat bicocca" "104" "110L" 2 NA "20160127" "6"
18 "stat padova" "109" "97" 1 NA "20160127" "6"
19 "stat padova" "90" "84" 5 NA "20160127" "6"
20 "mat TN" "90" "102" 2 NA "20160127" "6"
21 "stat padova" "103" "110L" 3 NA "20160127" "6"
22 "mat CA" "110L" "110L" 1 NA "20160127" "6"
23 "stat padova" "110L" "100" 2 NA "20160127" "6"
24 "stat padova" "110L" "110" 1 NA "20160127" "6"
25 "stat bicocca" "110L" "96" 2 NA "20160127" "6"
26 "stat padova" "" "" NA NA "20160127" "6"
27 "stat padova" "" "" NA NA "20160127" "6"
28 "stat padova" "" "" NA NA "20160127" "6"
29 "stat padova" "107" "105" 3 NA "20160127" "6"
30 "stat padova" "94" "102" 1 NA "20160127" "6"
31 "stat padova" "102" "92" 3 NA "20160127" "6"
32 "stat padova" "106" "101" 2 NA "20160127" "6"
33 "stat padova" "110L" "110L" 2 NA "20160127" "6"
34 "stat NA" "110L" "106" 3 NA "20160127" "6"
35 "stat padova" "90" "91" 2 NA "20160127" "6"
36 "stat FI" "96" "93" 2 NA "20160127" "6"
37 "stat padova" "84" "" 3 NA "20160127" "6"
38 "mat CA" "106" "97" 1 NA "20160127" "6"
39 "stat padova" "105" "" 1 NA "20160127" "6"
40 "stat padova" "88" "91" 6 NA "20160127" "6"
41 "stat NA" "110L" "110L" 1 NA "20160127" "6"
42 "stat bicocca" "110L" "110L" 2 NA "20160127" "6"
43 "stat padova" "104" "93" 7 NA "20160127" "6"
44 "stat padova" "104" "99" 2 NA "20160127" "6"
45 "stat padova" "93" "" NA NA "20160127" "6"
46 "stat padova" "102" "103" 5 NA "20160127" "6"
47 "sociologia" "102" "110L" 2 NA "20160127" "6"
48 "stat padova" "106" "103" 2 NA "20160127" "6"
49 "stat padova" "110L" "102" 2 NA "20160127" "6"
50 "stat padova" "86" "96" 4 7 "20160127" "6"
51 "stat GE" "110L" "100" 1 NA "20160127" "6"
52 "stat padova" "107" "110L" 4 NA "20160127" "6"
53 "stat padova" "90" "94" 4 NA "20160127" "6"
54 "stat padova" "107" "110L" NA NA "20160127" "6"
55 "stat padova" "96" "92" 2 NA "20160127" "6"
56 "stat padova" "96" "94" 1 NA "20160127" "6"
57 "stat padova" "104" "100" 2 NA "20160127" "6"
58 "stat padova" "97" "93" 4 NA "20160127" "6"
59 "stat padova" "88" "92" 3 NA "20160127" "6"
60 "stat GE" "110" "99" 6 5 "20160127" "6"
61 "stat GE" "90" "84" 1 8 "20160127" "6"
62 "stat padova" "103" "92" 3 NA "20160127" "6"
63 "mat PD" "108" "110L" 1 NA "20160127" "6"
64 "stat padova" "" "" 4 NA "20160127" "6"
65 "stat padova" "110L" "102" 1 NA "20160127" "6"
66 "stat padova" "" "" NA NA "20160127" "6"
67 "stat padova" "" "" NA NA "20160127" "6"
68 "stat GE" "110" "104" 2 10 "20160127" "6"
69 "stat padova" "110L" "110L" 3 NA "20160127" "6"
70 "stat padova" "102" "96" 1 NA "20160127" "6"
71 "stat padova" "110L" "110L" 1 NA "20160127" "6"
72 "stat padova" "84" "98" 2 NA "20160127" "6"
73 "stat padova" "93" "" NA NA "20160127" "6"
74 "stat padova" "92" "91" 4 NA "20160127" "6"
75 "stat padova" "84" "" 2 NA "20160127" "6"
76 "stat padova" "110L" "110" NA NA "20160127" "6"
77 "stat padova" "102" "100" NA NA "20160127" "6"
78 "stat padova" "" "" NA NA "20160127" "6"
79 "stat BA" "102" "93" 1 NA "20160127" "6"
80 "stat BN" "110L" "110L" 1 NA "20160127" "6"
81 "stat padova" "108" "100" 1 NA "20160127" "6"
82 "stat padova" "110L" "100L" NA NA "20160127" "6"
83 "stat padova" "105" "105" NA NA "20160127" "6"
84 "stat padova" "97" "92" 2 NA "20160127" "6"
85 "stat Bicocca" "110L" "110L" 2 12 "20160127" "6"
86 "mat GE" "101" "97" 4 NA "20160127" "6"
87 "stat GE" "108" "100" 1 NA "20160127" "6"
88 "mat GE" "110L" "110L" 2 NA "20160127" "6"
89 "mat GE" "110" "107" 1 NA "20160127" "6"
90 "stat padova" "" "" NA NA "20160127" "6"
91 "stat padova" "103" "103" 2 NA "20160127" "6"
92 "stat padova" "" "" NA NA "20160127" "6"
93 "stat padova" "95" "91" 1 NA "20160127" "6"
94 "stat padova" "107" "107" 2 NA "20160127" "6"
95 "mat GE" "97" "100" 3 NA "20160127" "6"
96 "stat padova" "95" "107" 3 NA "20160127" "6"
97 "stat GE" "110L" "103" 2 NA "20160127" "6"
98 "stat padova" "91" "85" 4 NA "20160127" "6"
99 "stat padova" "93" "93" 2 NA "20160127" "6"
100 "stat GE" "107" "96" 1 NA "20160127" "6"
101 "econ azien BA" "102" "86" 3 NA "20160127" "6"
102 "stat padova" "107" "107" 1 NA "20160127" "6"
103 "stat padova" "110L" "105" 2 NA "20160127" "6"
104 "stat padova" "92" "98" 1 NA "20160127" "6"
105 "stat padova" "" "" NA NA "20160127" "6"
106 "stat padova" "" "" NA NA "20160127" "6"
107 "stat padova" "" "" NA NA "20160127" "6"
108 "stat padova" "110L" "110L" 1 NA "20160127" "6"
109 "stat BA" "110L" "92" 4 NA "20160127" "6"
110 "stat padova" "94" "96" 7 NA "20160127" "6"
111 "stat padova" "101" "" NA NA "20160127" "6"
1 "stat padova" "91" "95" 1 NA "20160210" "1"
2 "stat padova" "" "" 1 NA "20160210" "1"
3 "stat padova" "103" "103" 3 NA "20160210" "1"
4 "stat padova" "" "" NA NA "20160210" "1"
5 "stat padova" "110L" "110" 2 NA "20160210" "1"
6 "Econ. e manag. TN" "98" "101" 1 NA "20160210" "1"
7 "stat padova" "110L" "99" 1 NA "20160210" "1"
8 "stat padova" "110L" "110L" 1 NA "20160210" "1"
9 "stat padova" "98" "100" 3 NA "20160210" "1"
10 "stat padova" "106" "108" 2 NA "20160210" "1"
11 "stat VE" "110L" "110" 1 NA "20160210" "1"
12 "stat padova" "" "" NA NA "20160210" "1"
13 "stat padova" "110L" "110L" 3 NA "20160210" "1"
14 "stat padova" "108" "110L" 3 NA "20160210" "1"
15 "stat padova" "" "" NA NA "20160210" "1"
16 "stat padova" "105" "92" 1 NA "20160210" "1"
17 "stat bicocca" "104" "110L" 2 NA "20160210" "1"
18 "stat padova" "109" "97" 1 NA "20160210" "1"
19 "stat padova" "90" "84" 5 NA "20160210" "1"
20 "mat TN" "90" "102" 2 NA "20160210" "1"
21 "stat padova" "103" "110L" 3 NA "20160210" "1"
22 "mat CA" "110L" "110L" 1 NA "20160210" "1"
23 "stat padova" "110L" "100" 2 NA "20160210" "1"
24 "stat padova" "110L" "110" 1 NA "20160210" "1"
25 "stat bicocca" "110L" "96" 2 NA "20160210" "1"
26 "stat padova" "" "" NA NA "20160210" "1"
27 "stat padova" "" "" NA NA "20160210" "1"
28 "stat padova" "" "" NA NA "20160210" "1"
29 "stat padova" "107" "105" 3 NA "20160210" "1"
30 "stat padova" "94" "102" 1 NA "20160210" "1"
31 "stat padova" "102" "92" 3 NA "20160210" "1"
32 "stat padova" "106" "101" 2 NA "20160210" "1"
33 "stat padova" "110L" "110L" 2 NA "20160210" "1"
34 "stat NA" "110L" "106" 3 NA "20160210" "1"
35 "stat padova" "90" "91" 2 NA "20160210" "1"
36 "stat FI" "96" "93" 2 NA "20160210" "1"
37 "stat padova" "84" "" 3 NA "20160210" "1"
38 "mat CA" "106" "97" 1 NA "20160210" "1"
39 "stat padova" "105" "" 1 NA "20160210" "1"
40 "stat padova" "88" "91" 6 NA "20160210" "1"
41 "stat NA" "110L" "110L" 1 3 "20160210" "1"
42 "stat bicocca" "110L" "110L" 2 NA "20160210" "1"
43 "stat padova" "104" "93" 7 NA "20160210" "1"
44 "stat padova" "104" "99" 2 NA "20160210" "1"
45 "stat padova" "93" "" NA NA "20160210" "1"
46 "stat padova" "102" "103" 5 NA "20160210" "1"
47 "sociologia" "102" "110L" 2 NA "20160210" "1"
48 "stat padova" "106" "103" 2 NA "20160210" "1"
49 "stat padova" "110L" "102" 2 NA "20160210" "1"
50 "stat padova" "86" "96" 4 2 "20160210" "1"
51 "stat GE" "110L" "100" 1 NA "20160210" "1"
52 "stat padova" "107" "110L" 4 3 "20160210" "1"
53 "stat padova" "90" "94" 4 NA "20160210" "1"
54 "stat padova" "107" "110L" NA NA "20160210" "1"
55 "stat padova" "96" "92" 2 1 "20160210" "1"
56 "stat padova" "96" "94" 1 NA "20160210" "1"
57 "stat padova" "104" "100" 2 NA "20160210" "1"
58 "stat padova" "97" "93" 4 NA "20160210" "1"
59 "stat padova" "88" "92" 3 NA "20160210" "1"
60 "stat GE" "110" "99" 6 1 "20160210" "1"
61 "stat GE" "90" "84" 1 NA "20160210" "1"
62 "stat padova" "103" "92" 3 NA "20160210" "1"
63 "mat PD" "108" "110L" 1 NA "20160210" "1"
64 "stat padova" "" "" 4 NA "20160210" "1"
65 "stat padova" "110L" "102" 1 NA "20160210" "1"
66 "stat padova" "" "" NA NA "20160210" "1"
67 "stat padova" "" "" NA NA "20160210" "1"
68 "stat GE" "110" "104" 2 3 "20160210" "1"
69 "stat padova" "110L" "110L" 3 NA "20160210" "1"
70 "stat padova" "102" "96" 1 NA "20160210" "1"
71 "stat padova" "110L" "110L" 1 NA "20160210" "1"
72 "stat padova" "84" "98" 2 NA "20160210" "1"
73 "stat padova" "93" "" NA NA "20160210" "1"
74 "stat padova" "92" "91" 4 NA "20160210" "1"
75 "stat padova" "84" "" 2 NA "20160210" "1"
76 "stat padova" "110L" "110" NA NA "20160210" "1"
77 "stat padova" "102" "100" NA NA "20160210" "1"
78 "stat padova" "" "" NA NA "20160210" "1"
79 "stat BA" "102" "93" 1 NA "20160210" "1"
80 "stat BN" "110L" "110L" 1 NA "20160210" "1"
81 "stat padova" "108" "100" 1 NA "20160210" "1"
82 "stat padova" "110L" "100L" NA NA "20160210" "1"
83 "stat padova" "105" "105" NA NA "20160210" "1"
84 "stat padova" "97" "92" 2 NA "20160210" "1"
85 "stat Bicocca" "110L" "110L" 2 NA "20160210" "1"
86 "mat GE" "101" "97" 4 NA "20160210" "1"
87 "stat GE" "108" "100" 1 NA "20160210" "1"
88 "mat GE" "110L" "110L" 2 NA "20160210" "1"
89 "mat GE" "110" "107" 1 NA "20160210" "1"
90 "stat padova" "" "" NA NA "20160210" "1"
91 "stat padova" "103" "103" 2 NA "20160210" "1"
92 "stat padova" "" "" NA NA "20160210" "1"
93 "stat padova" "95" "91" 1 NA "20160210" "1"
94 "stat padova" "107" "107" 2 NA "20160210" "1"
95 "mat GE" "97" "100" 3 NA "20160210" "1"
96 "stat padova" "95" "107" 3 2 "20160210" "1"
97 "stat GE" "110L" "103" 2 NA "20160210" "1"
98 "stat padova" "91" "85" 4 NA "20160210" "1"
99 "stat padova" "93" "93" 2 NA "20160210" "1"
100 "stat GE" "107" "96" 1 NA "20160210" "1"
101 "econ azien BA" "102" "86" 3 NA "20160210" "1"
102 "stat padova" "107" "107" 1 NA "20160210" "1"
103 "stat padova" "110L" "105" 2 3 "20160210" "1"
104 "stat padova" "92" "98" 1 NA "20160210" "1"
105 "stat padova" "" "" NA NA "20160210" "1"
106 "stat padova" "" "" NA NA "20160210" "1"
107 "stat padova" "" "" NA NA "20160210" "1"
108 "stat padova" "110L" "110L" 1 NA "20160210" "1"
109 "stat BA" "110L" "92" 4 NA "20160210" "1"
110 "stat padova" "94" "96" 7 NA "20160210" "1"
111 "stat padova" "101" "" NA NA "20160210" "1"
1 "stat padova" "91" "95" 1 NA "20160210" "2"
2 "stat padova" "" "" 1 NA "20160210" "2"
3 "stat padova" "103" "103" 3 NA "20160210" "2"
4 "stat padova" "" "" NA NA "20160210" "2"
5 "stat padova" "110L" "110" 2 NA "20160210" "2"
6 "Econ. e manag. TN" "98" "101" 1 NA "20160210" "2"
7 "stat padova" "110L" "99" 1 NA "20160210" "2"
8 "stat padova" "110L" "110L" 1 NA "20160210" "2"
9 "stat padova" "98" "100" 3 NA "20160210" "2"
10 "stat padova" "106" "108" 2 NA "20160210" "2"
11 "stat VE" "110L" "110" 1 NA "20160210" "2"
12 "stat padova" "" "" NA NA "20160210" "2"
13 "stat padova" "110L" "110L" 3 NA "20160210" "2"
14 "stat padova" "108" "110L" 3 NA "20160210" "2"
15 "stat padova" "" "" NA NA "20160210" "2"
16 "stat padova" "105" "92" 1 NA "20160210" "2"
17 "stat bicocca" "104" "110L" 2 NA "20160210" "2"
18 "stat padova" "109" "97" 1 NA "20160210" "2"
19 "stat padova" "90" "84" 5 NA "20160210" "2"
20 "mat TN" "90" "102" 2 NA "20160210" "2"
21 "stat padova" "103" "110L" 3 NA "20160210" "2"
22 "mat CA" "110L" "110L" 1 NA "20160210" "2"
23 "stat padova" "110L" "100" 2 NA "20160210" "2"
24 "stat padova" "110L" "110" 1 NA "20160210" "2"
25 "stat bicocca" "110L" "96" 2 NA "20160210" "2"
26 "stat padova" "" "" NA NA "20160210" "2"
27 "stat padova" "" "" NA NA "20160210" "2"
28 "stat padova" "" "" NA NA "20160210" "2"
29 "stat padova" "107" "105" 3 NA "20160210" "2"
30 "stat padova" "94" "102" 1 NA "20160210" "2"
31 "stat padova" "102" "92" 3 NA "20160210" "2"
32 "stat padova" "106" "101" 2 NA "20160210" "2"
33 "stat padova" "110L" "110L" 2 NA "20160210" "2"
34 "stat NA" "110L" "106" 3 NA "20160210" "2"
35 "stat padova" "90" "91" 2 NA "20160210" "2"
36 "stat FI" "96" "93" 2 NA "20160210" "2"
37 "stat padova" "84" "" 3 NA "20160210" "2"
38 "mat CA" "106" "97" 1 NA "20160210" "2"
39 "stat padova" "105" "" 1 NA "20160210" "2"
40 "stat padova" "88" "91" 6 NA "20160210" "2"
41 "stat NA" "110L" "110L" 1 3 "20160210" "2"
42 "stat bicocca" "110L" "110L" 2 NA "20160210" "2"
43 "stat padova" "104" "93" 7 NA "20160210" "2"
44 "stat padova" "104" "99" 2 NA "20160210" "2"
45 "stat padova" "93" "" NA NA "20160210" "2"
46 "stat padova" "102" "103" 5 NA "20160210" "2"
47 "sociologia" "102" "110L" 2 NA "20160210" "2"
48 "stat padova" "106" "103" 2 NA "20160210" "2"
49 "stat padova" "110L" "102" 2 NA "20160210" "2"
50 "stat padova" "86" "96" 4 1 "20160210" "2"
51 "stat GE" "110L" "100" 1 NA "20160210" "2"
52 "stat padova" "107" "110L" 4 2.5 "20160210" "2"
53 "stat padova" "90" "94" 4 NA "20160210" "2"
54 "stat padova" "107" "110L" NA NA "20160210" "2"
55 "stat padova" "96" "92" 2 2 "20160210" "2"
56 "stat padova" "96" "94" 1 NA "20160210" "2"
57 "stat padova" "104" "100" 2 NA "20160210" "2"
58 "stat padova" "97" "93" 4 NA "20160210" "2"
59 "stat padova" "88" "92" 3 NA "20160210" "2"
60 "stat GE" "110" "99" 6 2 "20160210" "2"
61 "stat GE" "90" "84" 1 NA "20160210" "2"
62 "stat padova" "103" "92" 3 NA "20160210" "2"
63 "mat PD" "108" "110L" 1 NA "20160210" "2"
64 "stat padova" "" "" 4 NA "20160210" "2"
65 "stat padova" "110L" "102" 1 NA "20160210" "2"
66 "stat padova" "" "" NA NA "20160210" "2"
67 "stat padova" "" "" NA NA "20160210" "2"
68 "stat GE" "110" "104" 2 2.5 "20160210" "2"
69 "stat padova" "110L" "110L" 3 NA "20160210" "2"
70 "stat padova" "102" "96" 1 NA "20160210" "2"
71 "stat padova" "110L" "110L" 1 NA "20160210" "2"
72 "stat padova" "84" "98" 2 NA "20160210" "2"
73 "stat padova" "93" "" NA NA "20160210" "2"
74 "stat padova" "92" "91" 4 NA "20160210" "2"
75 "stat padova" "84" "" 2 NA "20160210" "2"
76 "stat padova" "110L" "110" NA NA "20160210" "2"
77 "stat padova" "102" "100" NA NA "20160210" "2"
78 "stat padova" "" "" NA NA "20160210" "2"
79 "stat BA" "102" "93" 1 NA "20160210" "2"
80 "stat BN" "110L" "110L" 1 NA "20160210" "2"
81 "stat padova" "108" "100" 1 NA "20160210" "2"
